name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,recipe
kadhi pakoda,"besan, garam masala powder, gram flour, ginger, curry leaves",vegetarian,10,60,spicy,main course,Haryana,North,Zk3pddws0Lg
karela bharta,"bitter gourd, fennel, garam masala powder, chili powder, amchur powder",vegetarian,20,50,bitter,main course,Punjab,North,LRL2tGXKW8w
khichdi,"moong dal, green peas, ginger, tomato, green chili",vegetarian,40,20,spicy,main course,All State,All Region,SYWtizV5oCI
kofta,"paneer, potato, cream, corn flour, garam masala",vegetarian,20,40,spicy,main course,Uttar Pradesh,North,oBR3nQUnhJc
kulfi falooda,"rose syrup, falooda sev, mixed nuts, saffron, sugar",vegetarian,45,25,sweet,dessert,All State,All Region,AURB_-UsHc8
lauki ke kofte,"bottle gourd, garam masala powder, gram flour, ginger, chillies",vegetarian,20,40,spicy,main course,Uttar Pradesh,North,oBR3nQUnhJc
lauki ki subji,"bottle gourd, coconut oil, garam masala, ginger, green chillies",vegetarian,10,20,spicy,main course,All State,All Region,lVUM_7p3_oc
litti chokha,"wheat flour, roasted gram flour, tomato, nigella seeds, chilli",vegetarian,45,60,spicy,main course,Bihar,North,CqF4iPq9000
makki di roti sarson da saag,"palak, makki atta, mustard green, garam masala, ginger",vegetarian,25,30,spicy,main course,Punjab,North,JjZxqmQriXA
misi roti,"whole wheat flour, chickpea flour, green chilies",vegetarian,30,30,spicy,main course,Punjab,North,gblHgxycYVI
mushroom do pyaza,"mushroom, malai, garam masala, ginger, capsicum",vegetarian,10,30,spicy,main course,Punjab,North,T8slXflLyIY
mushroom matar,"canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",vegetarian,10,30,spicy,main course,Punjab,North,VxWjgIZPaKo
naan,"whole wheat flour, honey, butter, garlic",vegetarian,60,30,other,main course,Punjab,North,kA_3gY9rX4Y
navrattan korma,"green beans, potatoes, khus khus, low fat, garam masala powder",vegetarian,25,40,spicy,main course,Uttar Pradesh,North,HjQbjFLEByM
palak paneer,"cottage cheese, palak, cream, garam masala, butter",vegetarian,20,40,spicy,main course,Punjab,North,b5bDtzWCR9M
paneer butter masala,"paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,20,40,spicy,main course,Punjab,North,U1LVDFwi8qI
paneer tikka masala,"paneer, greek yogurt, tandoori masala, cream, bell pepper",vegetarian,20,40,spicy,main course,Punjab,North,Nru8aadeN0I
pani puri,"kala chana, mashed potato, boondi, sev, lemon",vegetarian,15,2,spicy,snack,All State,All Region,Lno88iU9J4w
panjeeri,"whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",vegetarian,10,25,sweet,dessert,Uttar Pradesh,North,05nFWwA7hLU
papad,"urad dal, sev, lemon juice, chopped tomatoes",vegetarian,5,5,spicy,snack,All State,All Region,RIhV0kLD7xQ
paratha,"wheat flour, butter, potato, coriander",vegetarian,15,45,spicy,main course,Punjab,North,nDKNXTc6qok
pattor,"arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,10,30,spicy,main course,Rajasthan,West,VIH3g_xdVtY
pindi chana,"fennel, tea bags, tomato, kasuri methi, cinnamon",vegetarian,500,120,spicy,main course,Punjab,North,XTNDdHtSwd8
rajma chaval,"red kidney beans, garam masala powder, ginger, tomato, mustard oil",vegetarian,15,90,spicy,main course,All State,North,PsSNpXmb-Gw
rongi,"garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",vegetarian,10,30,other,main course,Punjab,North,fZpFv0CkXoA
samosa,"potatoes, green peas, garam masala, ginger, dough",vegetarian,30,30,spicy,snack,All State,All Region,AAm95jaoAJc
sattu ki roti,"sattu, atta, dough, filling, mustard oil",vegetarian,10,20,spicy,main course,Bihar,North,9s7syv7JGCY
shahi paneer,"cottage cheese, malai, garam masala, ginger, tomato",vegetarian,20,40,spicy,main course,Punjab,North,G3-EASdBTOU
shahi tukra,"rose water, milk, white bread slices, saffron, almonds",vegetarian,10,30,sweet,dessert,Telangana,South,iA-zY2GSBMs
vegetable jalfrezi,"baby corn, french beans, garam masala, ginger, carrot",vegetarian,10,30,spicy,main course,Punjab,North,0wAoYUYUO4Y
tandoori chicken,"greek yogurt, garam masala, kasuri methi, marinade, mustard oil",non-vegetarian,240,30,spicy,main course,Punjab,North,Uz-b7mCPyfI
tandoori fish tikka,"chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",non-vegetarian,240,30,spicy,starter,Punjab,North,vNrMLVrqAwE
attu,"whole wheat flour, arhar dal, ginger, kala jeera, green chilli",vegetarian,150,25,spicy,snack,Andhra Pradesh,South,HUz8ih7g0aA
avial,"raw banana, elephant foot yam, long beans, tindora, urad dal",vegetarian,30,45,spicy,main course,Kerala,South,_C9SZg3adxI
bisi bele bath,"split pigeon peas, chana dal, urad dal, green peas, french beans",vegetarian,30,45,spicy,main course,Karnataka,South,ekXWJZQ5nF0
currivepillai sadam,"chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,Yw_ORqfE_MA
dosa,"chana dal, urad dal, whole urad dal, blend rice, rock salt",vegetarian,360,90,spicy,snack,All State,South,mWMe0B7J_5o
idiappam,"rice flour, hot water, grated coconut",vegetarian,120,30,spicy,snack,Tamil Nadu,South,MgFeN6MD3Lo
idli,"split urad dal, urad dal, idli rice, thick poha, rock salt",vegetarian,360,90,spicy,snack,All State,South,zFZJPVSkiMI
kanji,"carrot, yellow mustard, red chilli, black salt",vegetarian,10,45,other,snack,Kerala,South,xty3Vzu7sN8
kaara kozhambu,"sesame oil, drumstick, tamarind paste, sambar powder, tomato",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South,SuC_etdHbjU
keerai kootu,"moong dal, chana dal, spinach, urad dal, coconut oil",vegetarian,20,30,spicy,main course,Tamil Nadu,South,XDeJ3Pp5QXI
keerai masiyal,"urad dal, curry leaves, sugar, mustard seeds, spinach",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South,8uKN0LctJYM
keerai sadam,"greens, tomato, mustard seeds, fenugreek seeds",vegetarian,10,20,spicy,main course,Tamil Nadu,South,H6cKc-zCE2Q
keerai poriyal,"amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",vegetarian,20,30,spicy,main course,Tamil Nadu,South,hTa3ag24tkI
beef fry,"beef, coconut, garam masala, curry leaves, green chilies, chili powder",non-vegetarian,10,60,spicy,main course,Kerala,South,Y1fUfPOqoeg
kootu,"chana dal, urad dal, potato, beans, peas",vegetarian,10,15,spicy,main course,Tamil Nadu,South,U3NWHu-fLUI
kos kootu,"moong dal, chana dal, cabbage, tamarind, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,94MNihvE1gw
koshambri,"moong dal, cucumber, curry leaves, green chili, lemon juice",vegetarian,10,20,spicy,main course,Karnataka,South,ZPjdDwFPwak
kothamali sadam,"chana dal, urad dal, gooseberry, raw rice, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,gigFCLJ1DiU
kuzhakkattai,"sesame oil, raw rice, jaggery, grated coconut",vegetarian,10,90,spicy,main course,Tamil Nadu,South,ZDmel5yGv_o
kuzhambu,"pearl onions, urad dal, drumsticks, tomato, curry leaves",vegetarian,5,30,spicy,main course,Tamil Nadu,South,Lu-BRn5CI5U
masala dosa,"chana dal, urad dal, potatoes, idli rice, thick poha",vegetarian,360,90,spicy,snack,All State,South,llr-GVo_NnI
pachadi,"coconut oil, cucumber, curd, curry leaves, mustard seeds",vegetarian,10,25,other,main course,All State,South,rIrRJy1-ILc
paniyaram,"yogurt, ginger, curry leaves, baking soda, green chilli",vegetarian,10,20,other,main course,Tamil Nadu,South,zJ4KcIM2Ey8
papadum,"lentils, black pepper, vegetable oil",vegetarian,5,5,spicy,snack,Kerala,South,m3cdFo4yyDw
paravannam,"raw rice,  jaggery, milk",vegetarian,-1,-1,spicy,main course,Kerala,South,Q6XdmqkpY5g
payasam,"rice, cashew nuts, milk, raisins, sugar",vegetarian,15,30,sweet,dessert,All State,South,b5oI99d90j0
paruppu sadam,"arhar dal, sambar powder, tomato, curry leaves, fennel seeds",vegetarian,10,20,other,main course,Tamil Nadu,South,z8Xsl1QDU1E
pesarattu,"green moong beans, rice flour",vegetarian,120,20,spicy,snack,Andhra Pradesh,South,c0PQz7TF7RQ
poriyal,"chana dal, urad dal, beans, coconut, mustard",vegetarian,-1,-1,spicy,main course,Tamil Nadu,South,48QMJ1Zi2uY
puli sadam,"urad dal, lemon, tamarind, cooked rice, curry leaves",vegetarian,10,20,other,main course,Tamil Nadu,South,XpSaUF--Vz0
rasam,"tomato, curry leaves, garlic, mustard seeds, hot water",vegetarian,10,35,spicy,main course,All State,South,iJYSW6451Pg
puttu,"brown rice flour, sugar, grated coconut",vegetarian,495,40,other,main course,Kerala,South,Isu2GuDYw7E
sambar,"pigeon peas, eggplant, drumsticks, sambar powder, tamarind",vegetarian,20,45,spicy,main course,All State,South,EkJC0GgY5wk
sandige,"thin rice flakes, black sesame seeds, curry leaves",vegetarian,120,60,other,main course,Karnataka,South,t67TkBhkLDg
sevai,"sevai, parboiled rice, steamer",vegetarian,120,30,other,main course,All State,South,47KkF1Av7nM
thayir sadam,"urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",vegetarian,10,20,other,main course,Tamil Nadu,South,9umLppS-k9M
theeyal,"coconut, whole red beans, masala, sesame oil, tamarind",vegetarian,15,20,other,main course,Kerala,South,2vNm4mGH1-Q
uttapam,"chana dal, urad dal, thick poha, tomato, butter",vegetarian,10,20,spicy,snack,All State,South,BiO1SXyRAs4
vada,"urad dal, ginger, curry leaves, green chilies, black pepper",vegetarian,15,20,spicy,snack,All State,South,Zjm9fQBBHiM
chicken varuval,"meat curry powder, chicken chunks, ginger, tomato, cinnamon",non-vegetarian,10,35,spicy,main course,Tamil Nadu,South,7YXx5pg2rUs
upma,"chana dal, urad dal, ginger, curry leaves, sugar",vegetarian,10,20,spicy,snack,All State,All Region,b_euxDBjwAo
amti,"kala masala, arhar dal, curry leaves, mustard seeds, hot water",vegetarian,10,45,spicy,main course,Maharashtra,West,SOxp38zoCNg
zunka,"gram flour, mustard, garlic, turmeric, red chilli",vegetarian,10,25,spicy,main course,Maharashtra,West,wghDXn9tWZw
kolim jawla,"baingan, fish, coconut oil, fresh coconut, ginger",non-vegetarian,-1,-1,spicy,main course,Maharashtra,West,nBI5FS0cPx0
saath,"urad dal, potatoes, wheat flour, sooji",vegetarian,20,40,spicy,main course,Gujarat,West,S2V-qlCx7Ts
bajri no rotlo,"wheat flour, pearl millet flour, hot water",vegetarian,10,10,spicy,main course,Gujarat,West,qmEdP4dv0as
coconut vadi,"condensed milk, mawa, desiccated coconut, almonds, cashews",vegetarian,20,30,sweet,dessert,Maharashtra,West,Z6jNoPh9MXw
bhakri,"jowar flour, sesame seeds",vegetarian,20,25,other,main course,Maharashtra,West,kQJGearZcto
bombil fry,"bombay duck, malvani masala, rice flour, bombay rava, green chilies",non-vegetarian,-1,-1,spicy,main course,Maharashtra,West,FuzNF13EMDc
chakali,"rice flour, sesame, plain flour, turmeric, red chilli",vegetarian,10,40,spicy,snack,Maharashtra,West,hq4uHV0IVFs
chevdo,"citric acid, fry, raisins, sugar, chana daal",vegetarian,20,30,spicy,snack,Gujarat,West,tNfA1lInde4
chorafali,"urad dal, bengal gram flour, dried mango, baking soda, black salt",vegetarian,5,15,spicy,snack,Gujarat,West,OQkO2DwxCNk
copra paak,"condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",vegetarian,20,30,other,main course,Gujarat,West,JAzx3fa9OFw
daal dhokli,"whole wheat flour, dal, kokum, gur, bengal gram flour",vegetarian,20,30,spicy,main course,Gujarat,West,A-wJQ83ISFg
kutchi dabeli,"pav, aloo, peanut, pomegranate, star anise",vegetarian,30,10,spicy,snack,Gujarat,West,CIceMnBUjfg
dahi vada,"urad dal, bhuna chana, garam masala, dates, tamarind",vegetarian,30,30,other,snack,Maharashtra,West,0WnHrQWr4xk
dalithoy,"arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",vegetarian,5,20,other,main course,Maharashtra,West,ukGzH1PZRsk
dhokla,"rava, coconut, gram flour, mustard, sesame",vegetarian,10,20,spicy,snack,Gujarat,West,loLfq8JvNAo
dudhi halwa,"bottle gourd, green, raisins, sugar, clarified butter",vegetarian,15,30,sweet,dessert,Gujarat,West,WdTow1OPbAY
gatta curry,"yogurt, besan, sauce, garam masala powder, gram flour",vegetarian,10,20,spicy,main course,Rajasthan,West,mVwjjnwAIXY
gud papdi,"wheat flour, jaggery, clarified butter, sliced almonds",vegetarian,10,20,sweet,dessert,Gujarat,West,04MkiR6OPKs
ghooghra,"dry fruits, semolina, all purpose flour",vegetarian,-1,-1,spicy,snack,Gujarat,West,Ay01h_iFs7c
handwo,"bottle gourd, chana dal, cabbage, urad dal, toor dal",vegetarian,20,30,spicy,snack,Gujarat,West,fVJDFGwjpU0
halvasan,"whole wheat rava, chia seed, lemon, edible gum, litre milk",vegetarian,-1,-1,sweet,dessert,Gujarat,West,QyKYNHCfJXo
jeera aloo,"green chilies, lemon juice, chili powder, boiled potatoes",vegetarian,10,30,spicy,main course,Gujarat,West,PU8SRVD4QbU
kansar,"wheat flour, cashews, rapeseed oil",vegetarian,10,40,other,main course,Gujarat,West,DMDdzo7rCpY
keri no ras,"mango, sugar",vegetarian,10,10,sour,main course,Gujarat,West,S6nMvPUWlvA
khakhra,"whole wheat flour, low fat, bengal gram flour",vegetarian,20,40,spicy,snack,Gujarat,West,-FigyACbsGA
khandvi,"green chili paste, white sesame seeds, gram flour, curry leaves, green chili",vegetarian,20,45,spicy,snack,Gujarat,West,ndTp8_1Kdyk
kombdi vade,"rice flour, urad dal, wheat flour, gram flour, turmeric",vegetarian,10,25,spicy,snack,Maharashtra,West,OZ6RDPlxV-s
laapsi,"cinnamon, jaggery, clarified butter, dry roasted",vegetarian,10,40,spicy,main course,Madhya Pradesh,Central,9WP2Z-HQq1I
koshimbir,"cucumber, carrot, tomatoes, cilantro",vegetarian,10,10,spicy,main course,Maharashtra,West,jLYGufhYqJk
methi na gota,"rava, gram flour, lemon juice, turmeric, fenugreek leaves",vegetarian,15,30,bitter,main course,Gujarat,West,nJ7b8-Nna6A
mohanthal,"rose water, pistachio, badam, bengal gram flour, saffron",vegetarian,5,45,sweet,dessert,Gujarat,West,3KHzEejHBnw
muthiya,"bottle gourd, whole wheat flour, rava, sesame seeds, bengal gram flour",vegetarian,15,30,bitter,snack,Gujarat,West,Ft_2LIcvOU8
patra,"arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,10,40,spicy,snack,Gujarat,West,y6On70lP7Dg
pav bhaji,"pav bhaji masala, gobi, potatoes, green peas, dinner rolls",vegetarian,20,40,spicy,main course,Maharashtra,West,sAnPUIvPc1I
puri bhaji,"aloo, urad dal, mustard, ginger, curry leaves",vegetarian,10,30,spicy,main course,Maharashtra,West,5J3AIHw0OHo
sabudana khichadi,"raw peanuts, sabudana, lemon, avocado oil, curry leaves, green chili",vegetarian,70,30,spicy,snack,Maharashtra,West,bkESsnC6fEA
sev khamani,"khaman, pomegranate, sev, powdered sugar, garlic",vegetarian,20,30,spicy,main course,Gujarat,West,kmKuTPV_tcU
sev tameta,"sev, ginger, tomato, sugar",vegetarian,20,30,spicy,main course,Gujarat,West,s2PuzbKU3Ds
namakpara,"wheat flour, baking soda, all purpose flour, black pepper, sunflower oil",vegetarian,10,35,spicy,snack,Gujarat,West,1pddM6c5GtY
sukhdi,"whole wheat flour, gur, clarified butter",vegetarian,10,20,sweet,dessert,Maharashtra,West,sLkNkSFL9NU
surnoli,"rice flakes, yogurt, raw rice, jaggery, grated coconut",vegetarian,60,10,spicy,snack,Maharashtra,West,Wbj9PwJ7ioM
